# associated file path and the corresponding camera poses
# time_stamp, rgb_image, depth_image, tx, ty, tz, qx, qy, qz, qw 
13.6999 rgb/1692837031.735672.png depth/1692837031.734125.png 0.031238 0.0608723 3.12344 -0.00536089 0.0076268 -0.000487375 0.999956
13.7291 rgb/1692837031.764882.png depth/1692837031.763193.png 0.0322621 0.0613451 3.13255 -0.00521685 0.00806925 -0.000916333 0.999953
13.7758 rgb/1692837031.811576.png depth/1692837031.809795.png 0.0321288 0.0612229 3.14022 -0.00468203 0.00911754 -0.00136342 0.999947
13.7917 rgb/1692837031.827424.png depth/1692837031.826394.png 0.031793 0.0618014 3.14756 -0.00420119 0.00993112 -0.00117847 0.999941
13.8223 rgb/1692837031.858064.png depth/1692837031.857170.png 0.032111 0.0610907 3.15436 -0.00400916 0.010266 -0.00097061 0.999939
13.8593 rgb/1692837031.895051.png depth/1692837031.893716.png 0.0322256 0.0614995 3.16162 -0.00413357 0.0102548 -0.00047806 0.999939
13.8942 rgb/1692837031.929959.png depth/1692837031.928428.png 0.0314433 0.0615671 3.1682 -0.00397309 0.0101435 -0.000615099 0.999941
13.93 rgb/1692837031.965737.png depth/1692837031.964044.png 0.0324749 0.0608686 3.17647 -0.00360888 0.00979291 -0.00067779 0.999945
13.9633 rgb/1692837031.999077.png depth/1692837031.997433.png 0.0317035 0.0611871 3.18213 -0.00288528 0.00998747 -0.000682144 0.999946
14.0101 rgb/1692837032.045873.png depth/1692837032.043991.png 0.0317763 0.0623823 3.19025 -0.00263081 0.00983233 -0.00073425 0.999948
14.0255 rgb/1692837032.061236.png depth/1692837032.060240.png 0.0321479 0.0626677 3.19742 -0.00271112 0.00980482 -0.000984416 0.999948
14.0759 rgb/1692837032.111676.png depth/1692837032.109862.png 0.0333531 0.0616111 3.20662 -0.00284843 0.00968654 -0.000990816 0.999949
14.0917 rgb/1692837032.127466.png depth/1692837032.126452.png 0.0331243 0.0618478 3.21451 -0.00250727 0.00992892 -0.000854077 0.999947
14.1418 rgb/1692837032.177512.png depth/1692837032.175749.png 0.033885 0.0613776 3.22207 -0.00181665 0.0102486 -0.00104588 0.999945
14.1594 rgb/1692837032.195135.png depth/1692837032.194095.png 0.0331054 0.0613073 3.22909 -0.00111719 0.0107423 -0.00124152 0.999941
14.1892 rgb/1692837032.224976.png depth/1692837032.224030.png 0.0330101 0.061879 3.2362 -0.00120046 0.0109629 -0.00113014 0.999939
14.2444 rgb/1692837032.280111.png depth/1692837032.278354.png 0.0339856 0.0626673 3.24389 -0.00148883 0.0105684 -0.000958939 0.999943
14.2617 rgb/1692837032.297436.png depth/1692837032.296092.png 0.0347476 0.062205 3.25228 -0.00205953 0.0105193 -0.00115104 0.999942
14.2907 rgb/1692837032.326418.png depth/1692837032.325261.png 0.0353045 0.062548 3.26202 -0.00183545 0.0107069 -0.00108249 0.99994
14.3444 rgb/1692837032.380157.png depth/1692837032.378338.png 0.0357222 0.0631651 3.27001 -0.00190053 0.0109989 -0.0013375 0.999937
14.3597 rgb/1692837032.395437.png depth/1692837032.394382.png 0.0352036 0.0633189 3.27727 -0.00227551 0.0112223 -0.00142274 0.999933
14.3896 rgb/1692837032.425301.png depth/1692837032.424268.png 0.0352849 0.0629957 3.28621 -0.00261287 0.0114188 -0.00148375 0.99993
14.4248 rgb/1692837032.460556.png depth/1692837032.459481.png 0.0349593 0.0635636 3.29458 -0.00236082 0.0115042 -0.00128589 0.99993
14.4638 rgb/1692837032.499538.png depth/1692837032.497821.png 0.0351241 0.0636103 3.29974 -0.00239958 0.0113039 -0.00105591 0.999933
14.5103 rgb/1692837032.546014.png depth/1692837032.544229.png 0.0356574 0.063783 3.31076 -0.00286638 0.0108765 -0.000765778 0.999936
14.5259 rgb/1692837032.561658.png depth/1692837032.560576.png 0.0355593 0.0644011 3.31973 -0.00303047 0.0110248 -0.00139606 0.999934
14.57 rgb/1692837032.605767.png depth/1692837032.604003.png 0.0360275 0.0643297 3.32679 -0.00330259 0.0110817 -0.00158142 0.999932
14.5982 rgb/1692837032.633906.png depth/1692837032.632222.png 0.0363569 0.0635741 3.33525 -0.00337868 0.0111902 -0.00144293 0.999931
14.6281 rgb/1692837032.663800.png depth/1692837032.662399.png 0.0361038 0.0641598 3.34351 -0.00288143 0.0114261 -0.00139734 0.99993
14.6615 rgb/1692837032.697207.png depth/1692837032.695751.png 0.0358403 0.0650254 3.35052 -0.00281358 0.0116023 -0.00167732 0.999927
14.6948 rgb/1692837032.730570.png depth/1692837032.729090.png 0.0369063 0.0649913 3.35847 -0.00333564 0.0115739 -0.00196132 0.999926
14.7333 rgb/1692837032.769078.png depth/1692837032.767053.png 0.0359067 0.0653801 3.36701 -0.00388014 0.0118456 -0.00174383 0.999921
14.7665 rgb/1692837032.802198.png depth/1692837032.800570.png 0.0358081 0.0649631 3.37609 -0.00411997 0.0117959 -0.00142311 0.999921
14.8049 rgb/1692837032.840634.png depth/1692837032.839159.png 0.036752 0.0653728 3.3837 -0.0039548 0.0111007 -0.00103795 0.99993
14.8362 rgb/1692837032.871935.png depth/1692837032.870516.png 0.0367298 0.0658851 3.39208 -0.00414062 0.0106442 -0.000786255 0.999934
14.8706 rgb/1692837032.906388.png depth/1692837032.904902.png 0.037273 0.0667889 3.40142 -0.00444914 0.00987481 -0.000270698 0.999941
14.8927 rgb/1692837032.928397.png depth/1692837032.927190.png 0.0379605 0.0663491 3.41048 -0.00512401 0.00947758 0.000103784 0.999942
14.9446 rgb/1692837032.980347.png depth/1692837032.978584.png 0.0388031 0.0660734 3.41989 -0.00496176 0.00968487 -0.000773586 0.999941
14.9617 rgb/1692837032.997450.png depth/1692837032.996026.png 0.040169 0.0657683 3.42615 -0.00445717 0.00990021 -0.000858019 0.999941
15.0061 rgb/1692837033.041853.png depth/1692837033.039254.png 0.0394369 0.0661642 3.4326 -0.00370873 0.0105601 -0.000551357 0.999937
15.0358 rgb/1692837033.071537.png depth/1692837033.070082.png 0.0393095 0.0669442 3.44068 -0.00378018 0.0109553 -0.000230794 0.999933
15.06 rgb/1692837033.095696.png depth/1692837033.094408.png 0.0399049 0.067492 3.44881 -0.00388449 0.010969 -0.000215013 0.999932
15.1105 rgb/1692837033.146263.png depth/1692837033.144475.png 0.041283 0.0674728 3.45677 -0.00373997 0.0108519 -0.000100114 0.999934
15.1264 rgb/1692837033.162117.png depth/1692837033.160951.png 0.0413966 0.0673994 3.46405 -0.00339425 0.0112821 -0.000301259 0.999931
15.1653 rgb/1692837033.201043.png depth/1692837033.199290.png 0.0409104 0.0684513 3.47092 -0.00302809 0.0116233 -0.0004875 0.999928
15.1988 rgb/1692837033.234526.png depth/1692837033.232698.png 0.0413858 0.066774 3.47963 -0.00324259 0.0116245 -0.000126648 0.999927
15.2321 rgb/1692837033.267887.png depth/1692837033.266079.png 0.0402407 0.0678198 3.48633 -0.00296094 0.0116956 7.02834e-05 0.999927
15.2654 rgb/1692837033.301183.png depth/1692837033.299401.png 0.041157 0.0681249 3.49409 -0.00304995 0.0111485 0.000292264 0.999933
15.2987 rgb/1692837033.334435.png depth/1692837033.332671.png 0.0431664 0.0685775 3.50137 -0.00308086 0.0107563 9.36889e-05 0.999937
15.3322 rgb/1692837033.367900.png depth/1692837033.366040.png 0.0423064 0.0674301 3.50993 -0.00291398 0.0110979 -8.68647e-05 0.999934
15.3657 rgb/1692837033.401473.png depth/1692837033.399638.png 0.0411877 0.068001 3.51713 -0.00262543 0.0115924 1.85974e-05 0.999929
15.4081 rgb/1692837033.443821.png depth/1692837033.442120.png 0.0424089 0.0691431 3.52561 -0.00273941 0.0112264 0.000457929 0.999933
15.4259 rgb/1692837033.461629.png depth/1692837033.460611.png 0.0414795 0.0698877 3.5339 -0.0031036 0.0110289 0.000840191 0.999934
15.4568 rgb/1692837033.492541.png depth/1692837033.491641.png 0.0430808 0.0697786 3.54224 -0.00297033 0.0109709 0.000259954 0.999935
15.4934 rgb/1692837033.529162.png depth/1692837033.527905.png 0.0425525 0.0699453 3.54958 -0.00304009 0.0113904 0.000213558 0.999931
15.5341 rgb/1692837033.569843.png depth/1692837033.567816.png 0.0421261 0.071649 3.55954 -0.00339562 0.0115767 0.000306082 0.999927
15.568 rgb/1692837033.603750.png depth/1692837033.601885.png 0.0436908 0.070547 3.56686 -0.00393022 0.0115814 0.000172305 0.999925
15.5969 rgb/1692837033.632670.png depth/1692837033.631063.png 0.0423802 0.0705027 3.57584 -0.00422585 0.0118821 0.000419951 0.99992
15.6303 rgb/1692837033.666068.png depth/1692837033.664514.png 0.0433886 0.0708629 3.58311 -0.00421942 0.0118615 0.000528149 0.999921
15.6637 rgb/1692837033.699416.png depth/1692837033.697863.png 0.0442325 0.0702253 3.59141 -0.00397963 0.0118143 0.000627846 0.999922
15.697 rgb/1692837033.732762.png depth/1692837033.731219.png 0.0442684 0.0714073 3.59832 -0.00366713 0.0120398 0.000580957 0.999921
15.745 rgb/1692837033.780715.png depth/1692837033.778938.png 0.0446295 0.0723277 3.60638 -0.00400072 0.0118907 0.000780984 0.999921
15.7604 rgb/1692837033.796114.png depth/1692837033.795067.png 0.0437668 0.0730341 3.61481 -0.00450431 0.0121792 0.000604862 0.999915
15.7904 rgb/1692837033.826188.png depth/1692837033.825286.png 0.0449709 0.0722516 3.62432 -0.00490274 0.0121779 0.000583109 0.999914
15.8475 rgb/1692837033.883198.png depth/1692837033.880853.png 0.0476814 0.0732835 3.63645 -0.00473891 0.0120819 0.000627581 0.999916
15.8658 rgb/1692837033.901505.png depth/1692837033.899751.png 0.046958 0.0743127 3.64304 -0.00459677 0.0124529 0.000472666 0.999912
15.8993 rgb/1692837033.934989.png depth/1692837033.933147.png 0.0471424 0.074118 3.65191 -0.00472098 0.0122954 0.000600115 0.999913
15.945 rgb/1692837033.980740.png depth/1692837033.978920.png 0.0465339 0.0738605 3.65969 -0.00500203 0.0125695 0.00084605 0.999908
15.9647 rgb/1692837034.000469.png depth/1692837033.999293.png 0.0470942 0.0736317 3.6673 -0.00540667 0.0124615 0.000802455 0.999907
15.992 rgb/1692837034.027765.png depth/1692837034.026510.png 0.0474579 0.0739877 3.67691 -0.00560458 0.0123709 0.000854421 0.999907
16.0253 rgb/1692837034.061060.png depth/1692837034.059962.png 0.0478901 0.0744237 3.68448 -0.00528273 0.0125022 0.00053084 0.999908
16.0612 rgb/1692837034.096987.png depth/1692837034.095675.png 0.0478305 0.0755918 3.69332 -0.00533159 0.0128361 0.000378658 0.999903
16.1134 rgb/1692837034.149145.png depth/1692837034.147016.png 0.0475197 0.0749627 3.70014 -0.0056552 0.0131462 0.000364697 0.999898
16.1286 rgb/1692837034.164299.png depth/1692837034.163169.png 0.046894 0.0745157 3.70936 -0.00572872 0.0134013 0.000714522 0.999894
16.1575 rgb/1692837034.193249.png depth/1692837034.192307.png 0.0473181 0.0750901 3.71654 -0.00517227 0.0129241 0.00101118 0.999903
